【整租】金桥 乾昌大厦 1室1厅,乾昌大厦,2400,http://sh.58.com/pinpaigongyu/27260580793656x.shtml
【整租】新闸路 筑福国际大厦 1室0厅,筑福国际大厦,2500,http://sh.58.com/pinpaigongyu/27006313797808x.shtml
【整租】吴泾 其灵公寓 1室0厅,【整租】吴泾,2241,http://sh.58.com/pinpaigongyu/27119610745037x.shtml
【整租】金桥 V领地青年创客 1室1厅,V领地青年创客,2435,http://sh.58.com/pinpaigongyu/27205781062457x.shtml
【整租】顾村 金丰苑南区 1室1厅,金丰苑南区,2000,http://sh.58.com/pinpaigongyu/26485620305850x.shtml
【整租】四川北路 贝客青年公寓 1室1厅,【整租】四川北路,4000,http://sh.58.com/pinpaigongyu/27158784419881x.shtml
【整租】田林 未来域壹极公寓 1室1厅,【整租】田林,4390,http://sh.58.com/pinpaigongyu/27192488315203x.shtml
【整租】金桥 金桥禹州国际三期 1室1厅,金桥禹州国际三期,3455,http://sh.58.com/pinpaigongyu/27264462083778x.shtml
【整租】浦江 魔方公寓昌林路 1室1厅,【整租】浦江,2100,http://sh.58.com/pinpaigongyu/27269776598061x.shtml
【整租】惠南 	德盈佳苑 3室1厅,德盈佳苑,3200,http://sh.58.com/pinpaigongyu/27006943076430x.shtml
【整租】马陆 金沙湾绿地和苑 2室1厅,金沙湾绿地和苑,3300,http://sh.58.com/pinpaigongyu/26662804800324x.shtml
【整租】吴泾 其灵公寓 1室0厅,【整租】吴泾,2333,http://sh.58.com/pinpaigongyu/27119588274486x.shtml
【整租】川沙 心圆东苑 2室1厅,心圆东苑,3600,http://sh.58.com/pinpaigongyu/26716529080628x.shtml
【整租】周浦 	东南三村 2室1厅,东南三村,3500,http://sh.58.com/pinpaigongyu/26742217917113x.shtml
【整租】惠南 惠康苑 2室1厅,惠康苑,2500,http://sh.58.com/pinpaigongyu/26863163199175x.shtml
【整租】外高桥 金地未未来 1室1厅,金地未未来,1900,http://sh.58.com/pinpaigongyu/27253675880518x.shtml
【整租】上海大学 丰宝苑 3室1厅,丰宝苑,5100,http://sh.58.com/pinpaigongyu/26860221308997x.shtml
【整租】罗店 美罗家园润苑 1室1厅,美罗家园润苑,2200,http://sh.58.com/pinpaigongyu/27173527031212x.shtml
【整租】浦江 魔方公寓昌林路 1室1厅,【整租】浦江,2300,http://sh.58.com/pinpaigongyu/27238951034313x.shtml
【整租】惠南 惠益绿苑北苑 2室1厅,惠益绿苑北苑,2500,http://sh.58.com/pinpaigongyu/26807896001469x.shtml
