15,【整租】外高桥 金地未未来 1室1厅,金地未未来,1900,http://sh.58.com/pinpaigongyu/27253675880518x.shtml
73,【整租】金桥 高弘家苑 1室1厅,高弘家苑,1955,http://sh.58.com/pinpaigongyu/27253814830150x.shtml
74,【整租】浦江 浦江智汇园 1室1厅,浦江智汇园,1600,http://sh.58.com/pinpaigongyu/27262004453692x.shtml
113,【整租】外高桥 高行绿洲 1室1厅,高行绿洲,1700,http://sh.58.com/pinpaigongyu/27236497138104x.shtml
186,【整租】康建 康惠苑 1室0厅,康惠苑,950,http://sh.58.com/pinpaigongyu/27253913885354x.shtml
211,【整租】外高桥 V领地青年创客社 1室1厅,V领地青年创客社,1700,http://sh.58.com/pinpaigongyu/27206474923592x.shtml
228,【整租】南翔 翔瑞新苑 3室1厅,翔瑞新苑,1700,http://sh.58.com/pinpaigongyu/26771941468595x.shtml
243,【整租】共富新村 共富二村 3室1厅,共富二村,1700,http://sh.58.com/pinpaigongyu/26773274564045x.shtml
251,【整租】浦江 浦江人才公寓 1室0厅,【整租】浦江,1500,http://sh.58.com/pinpaigongyu/27269869396801x.shtml
342,【整租】外高桥 中冶尚城 1室1厅,中冶尚城,1950,http://sh.58.com/pinpaigongyu/27236037992398x.shtml
400,【整租】浦江 浦江世博家园 1室1厅,浦江世博家园,1500,http://sh.58.com/pinpaigongyu/27270254773034x.shtml
450,【整租】惠南 	伊顿公馆 3室1厅,伊顿公馆,900,http://sh.58.com/pinpaigongyu/26874905699773x.shtml
456,【整租】上海大学 上海宝山城银路5 1室0厅,上海宝山城银路5,1500,http://sh.58.com/pinpaigongyu/27159105846578x.shtml
498,【整租】浦江 v领地青年公寓 1室1厅,【整租】浦江,1660,http://sh.58.com/pinpaigongyu/27250711402447x.shtml
500,【整租】浦江 v领地青年公寓 1室1厅,【整租】浦江,1660,http://sh.58.com/pinpaigongyu/27250711402447x.shtml
521,【整租】惠南 惠康苑东苑 1室1厅,惠康苑东苑,1800,http://sh.58.com/pinpaigongyu/27238482052539x.shtml
537,【整租】上海大学 城银路525号 1室0厅,城银路525号,999,http://sh.58.com/pinpaigongyu/27203056429895x.shtml
571,【整租】共富新村 	天馨花园 3室1厅,天馨花园,1600,http://sh.58.com/pinpaigongyu/26874648209227x.shtml
596,【整租】嘉定新城 永盛公寓 8室1厅,【整租】嘉定新城,1950,http://sh.58.com/pinpaigongyu/27224890129722x.shtml
614,【整租】外高桥 中冶尚城 1室1厅,中冶尚城,1955,http://sh.58.com/pinpaigongyu/27253795311292x.shtml
629,【整租】外高桥 V领地青年创客社 1室1厅,V领地青年创客社,1950,http://sh.58.com/pinpaigongyu/27150810809792x.shtml
696,【整租】金杨新村 微领地青年创客社 1室1厅,微领地青年创客社,1900,http://sh.58.com/pinpaigongyu/27254004076604x.shtml
719,【整租】江川路 闵行青年汇公寓 1室0厅,【整租】江川路,1458,http://sh.58.com/pinpaigongyu/27170793977132x.shtml
746,【整租】人民广场 宝山青年汇 1室0厅,宝山青年汇,1600,http://sh.58.com/pinpaigongyu/27225089416111x.shtml
747,【整租】惠南 惠康苑西苑 1室1厅,惠康苑西苑,1700,http://sh.58.com/pinpaigongyu/26453195190954x.shtml
789,【整租】嘉定新城 永盛公寓 7室1厅,【整租】嘉定新城,1950,http://sh.58.com/pinpaigongyu/27224886976446x.shtml
800,【整租】外高桥 中冶尚城 1室1厅,中冶尚城,1955,http://sh.58.com/pinpaigongyu/27254097079347x.shtml
